"Scope","Rule","Severity","File","Line","Column","Message"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/TMPro_Mobile.cginc","39","29","'pixel_t' does not name a value"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/TMPro_Surface.cginc","56","14","Cannot resolve symbol 'GetColor'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/TMPro_Surface.cginc","1","43","Cannot resolve symbol 'Input'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/TMPro_Surface.cginc","6","26","Cannot resolve symbol 'Input'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/TMPro_Surface.cginc","32","16","Cannot resolve symbol 'Input'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/TMPro_Surface.cginc","11","16","Cannot resolve symbol 'ObjSpaceViewDir'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/SDFFunctions.hlsl","31","3","Cannot resolve symbol 'SAMPLE_TEXTURE2D'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/SDFFunctions.hlsl","32","3","Cannot resolve symbol 'SAMPLE_TEXTURE2D'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/SDFFunctions.hlsl","33","3","Cannot resolve symbol 'SAMPLE_TEXTURE2D'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/SDFFunctions.hlsl","34","3","Cannot resolve symbol 'SAMPLE_TEXTURE2D'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/SDFFunctions.hlsl","31","27","Cannot resolve symbol 'SamplerState_Linear_Clamp'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/SDFFunctions.hlsl","32","27","Cannot resolve symbol 'SamplerState_Linear_Clamp'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/SDFFunctions.hlsl","33","27","Cannot resolve symbol 'SamplerState_Linear_Clamp'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/SDFFunctions.hlsl","34","27","Cannot resolve symbol 'SamplerState_Linear_Clamp'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/TMPro_Surface.cginc","32","35","Cannot resolve symbol 'SurfaceOutput'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/TMPro_Mobile.cginc","39","5","Cannot resolve symbol 'UNITY_INITIALIZE_OUTPUT'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/TMPro_Surface.cginc","6","2","Cannot resolve symbol 'UNITY_INITIALIZE_OUTPUT'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/TMPro_Mobile.cginc","42","5","Cannot resolve symbol 'UNITY_INITIALIZE_VERTEX_OUTPUT_STEREO'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/TMPro_Surface.cginc","21","56","Cannot resolve symbol 'UNITY_MATRIX_P'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/TMPro_Mobile.cginc","40","5","Cannot resolve symbol 'UNITY_SETUP_INSTANCE_ID'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/TMPro_Mobile.cginc","104","5","Cannot resolve symbol 'UNITY_SETUP_INSTANCE_ID'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/TMPro_Mobile.cginc","41","5","Cannot resolve symbol 'UNITY_TRANSFER_INSTANCE_ID'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/TMPro_Mobile.cginc","13","5","Cannot resolve symbol 'UNITY_VERTEX_INPUT_INSTANCE_ID'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/TMPro_Mobile.cginc","50","24","Cannot resolve symbol 'UnityObjectToClipPos'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/TMPro_Surface.cginc","18","21","Cannot resolve symbol 'UnityObjectToClipPos'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/TMPro_Surface.cginc","24","64","Cannot resolve symbol 'UnityObjectToWorldNormal'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/TMPro_Surface.cginc","24","114","Cannot resolve symbol 'WorldSpaceViewDir'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/TMPro_Surface.cginc","29","46","Cannot resolve symbol 'WorldSpaceViewDir'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/SDFFunctions.hlsl","68","14","Cannot resolve symbol '_Ambient'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/TMPro.cginc","41","7","Cannot resolve symbol '_Bevel'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/SDFFunctions.hlsl","50","7","Cannot resolve symbol '_BevelAmount'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/SDFFunctions.hlsl","49","26","Cannot resolve symbol '_BevelClamp'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/SDFFunctions.hlsl","49","39","Cannot resolve symbol '_BevelClamp'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/SDFFunctions.hlsl","49","52","Cannot resolve symbol '_BevelClamp'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/SDFFunctions.hlsl","49","65","Cannot resolve symbol '_BevelClamp'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/TMPro.cginc","40","17","Cannot resolve symbol '_BevelClamp'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/SDFFunctions.hlsl","38","7","Cannot resolve symbol '_BevelOffset'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/TMPro.cginc","29","12","Cannot resolve symbol '_BevelOffset'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/SDFFunctions.hlsl","48","46","Cannot resolve symbol '_BevelRoundness'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/SDFFunctions.hlsl","48","63","Cannot resolve symbol '_BevelRoundness'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/SDFFunctions.hlsl","48","80","Cannot resolve symbol '_BevelRoundness'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/SDFFunctions.hlsl","48","97","Cannot resolve symbol '_BevelRoundness'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/TMPro.cginc","39","35","Cannot resolve symbol '_BevelRoundness'"
"Vendor/generated/other",".CppCompilerErrors","warning","Assets/TextMesh Pro/Shaders/SDFFunctions.hlsl","36","21","Cannot resolve symbol '_BevelType'"
