"Scope","Rule","Severity","Count","ExampleFile","ExampleLine","ExampleMessage"
"Vendor/generated/other",".CppCompilerErrors","warning","133","Assets/TextMesh Pro/Shaders/TMPro_Mobile.cginc","39","'pixel_t' does not name a value"
"Vendor/generated/other",".CppCompilerErrors","error","2","Assets/TextMesh Pro/Shaders/TMPro_Mobile.cginc","14","Expected ';'"
"First-party","AccessToModifiedClosure","warning","4","Assets/Game/Runtime/Networking/SteamLobby.cs","46","Captured variable is modified in the outer scope"
"Vendor/generated/other","AccessToStaticMemberViaDerivedType","warning","3","Assets/FishNet/Runtime/Plugins/GameKit/Dependencies/Utilities/Transforms.cs","103","Access to a static member of a type via a derived type"
"First-party","AccessToStaticMemberViaDerivedType","warning","4","Assets/Game/Editor/BakeTools.cs","230","Access to a static member of a type via a derived type"
"Vendor/generated/other","ArrangeAccessorOwnerBody","note","849","Assets/FishNet/CodeGenerating/cecil-0.11.4/Mono.Cecil.Cil/Document.cs","57","Code body does not conform to code style settings: use expression body"
"First-party","ArrangeAccessorOwnerBody","note","1","Assets/Game/Runtime/Avatars/Appearance/AvatarEditorStation.cs","22","Code body does not conform to code style settings: use expression-bodied property"
"First-party","ArrangeObjectCreationWhenTypeEvident","note","2","Assets/Game/Runtime/Pickup/ItemPlacementZone.cs","13","Redundant type specification"
"Vendor/generated/other","ArrangeObjectCreationWhenTypeEvident","note","120","Assets/Plugins/FishySteamworks/Core/BidirectionalDictionary.cs","8","Redundant type specification"
"Vendor/generated/other","AssignNullToNotNullAttribute","warning","23","Assets/FishNet/CodeGenerating/Helpers/Extension/Diagnostics.cs","33","Possible 'null' assignment to non-nullable entity"
"Vendor/generated/other","AutoPropertyCanBeMadeGetOnly.Global","note","25","Assets/FishNet/CodeGenerating/cecil-0.11.4/Mono.Cecil.Cil/Document.cs","54","Auto-property can be made get-only"
"Vendor/generated/other","AutoPropertyCanBeMadeGetOnly.Local","note","8","Assets/FishNet/Runtime/Connection/Buffer.cs","33","Auto-property can be made get-only"
"First-party","AutoPropertyCanBeMadeGetOnly.Local","note","1","Assets/Game/Runtime/Avatars/AvatarAnimationGraph.cs","115","Auto-property can be made get-only"
"Vendor/generated/other","BadControlBracesIndent","note","1","Assets/FishNet/Runtime/Generated/Component/NetworkTransform/NetworkTransform.cs","1720","Line indent is not restored to the previous level around statement braces"
"Vendor/generated/other","BaseObjectEqualsIsObjectEquals","warning","1","Assets/FishNet/Runtime/Managing/Scened/SceneLookupData.cs","204","Call to 'base.Equals(...)' is reference equality"
"Vendor/generated/other","BitwiseOperatorOnEnumWithoutFlags","warning","5","Assets/FishNet/CodeGenerating/Processing/Rpc/AttributeData.cs","47","Bitwise operation on enum that is not marked by the [Flags] attribute"
"First-party","CSharpWarnings::CS0108,CS0114","warning","1","Assets/Game/Runtime/Player/PlayerPotionEffects.cs","26","The keyword 'new' is required on 'Reset' because it hides event function 'void FishNet.Object.NetworkBehaviour.Reset()'"
"Vendor/generated/other","CSharpWarnings::CS0162","warning","1","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/Core/CommonSocket.cs","171","Code is unreachable"
"First-party","CSharpWarnings::CS0618","warning","11","Assets/Game/Runtime/Avatars/Appearance/AvatarEditorPreview.cs","44","CS0618: Enum 'UnityEngine.FindObjectsSortMode' is obsolete: 'FindObjectsSortMode has been deprecated. Use the FindObjectsByType overloads that do not take a FindObjectsSortMode parameter.'"
"Vendor/generated/other","CSharpWarnings::CS0618","warning","7","Assets/FishNet/Upgrading/UpgradeFromMirrorMenu.cs","44","CS0618: Method 'UnityEditor.PlayerSettings.GetScriptingDefineSymbolsForGroup(BuildTargetGroup)' is obsolete: 'Use GetScriptingDefineSymbols(NamedBuildTarget buildTarget) instead'"
"Vendor/generated/other","CSharpWarnings::CS0693","warning","1","Assets/FishNet/Runtime/Plugins/GameKit/Dependencies/Utilities/Types/ObjectPooling/Scripts/ListStack.cs","6","Type parameter 'GameObject' hides class 'GameObject'"
"Vendor/generated/other","CSharpWarnings::CS8632","warning","136","Assets/FishNet/Runtime/Transporting/Transports/Synapse/Core/ClientSocket.cs","28","The annotation for nullable reference types should only be used in code within a '#nullable' annotations context"
"Vendor/generated/other","CanSimplifyDictionaryLookupWithTryAdd","note","1","Assets/FishNet/CodeGenerating/cecil-0.11.4/Mono.Cecil/DefaultAssemblyResolver.cs","45","Dictionary lookup can be simplified with 'TryAdd'"
