"Scope","Rule","Severity","Category","File","Line","Message","Title","Impact"
"Vendor/generated/other","","Moderate","ShaderCompilerMessage","Packages/com.unity.render-pipelines.universal/Shaders/Utils/FallbackLoading.shader","-1","Ignoring duplicate keyword line 'multi_compile _ DOTS_INSTANCING_ON'",,
"Vendor/generated/other","","Moderate","ShaderCompilerMessage","Assets/TextMesh Pro/Shaders/TMP_SDF-Mobile.shader","84","#pragma enable_d3d11_debug_symbols has been deprecated, instead please use #pragma enable_debug_symbols",,
"Vendor/generated/other","","Moderate","ShaderCompilerMessage","Assets/TextMesh Pro/Shaders/TMP_SDF-Mobile SpaceWarp.shader","86","#pragma enable_d3d11_debug_symbols has been deprecated, instead please use #pragma enable_debug_symbols",,
"Vendor/generated/other","","Moderate","ShaderCompilerMessage","Assets/TextMesh Pro/Shaders/TMP_SDF-Mobile SpaceWarp.shader","256","#pragma enable_d3d11_debug_symbols has been deprecated, instead please use #pragma enable_debug_symbols",,
"Vendor/generated/other","","Moderate","ShaderCompilerMessage","Packages/com.vrmc.vrm/MToon10/Shaders/vrmc_materials_mtoon_urp.shader","12","_FORWARD_PLUS shader keyword has been deprecated. Please update your shaders to use _CLUSTER_LIGHT_LOOP shader keyword instead, otherwise shader compilation times may be negatively affected.",,
"Vendor/generated/other","","Moderate","ShaderCompilerMessage","Packages/com.vrmc.vrm/MToon10/Shaders/vrmc_materials_mtoon_urp.shader","78","gradient instruction used in a loop with varying iteration; partial derivatives may have undefined value",,
"Vendor/generated/other","PAA0001","Moderate","AssetIssue","Assets/_3rdParty/LeanTween/Examples/Material/Futoro_PersonSprites.png","0","Texture2D 'Futoro_PersonSprites' mipmaps generation is enabled","Texture: Mipmaps enabled on Sprite/UI texture","BuildSize, Quality"
"Vendor/generated/other","PAA0001","Moderate","AssetIssue","Assets/_3rdParty/LeanTween/Examples/Material/Futuro_Bar.psd","0","Texture2D 'Futuro_Bar' mipmaps generation is enabled","Texture: Mipmaps enabled on Sprite/UI texture","BuildSize, Quality"
"Vendor/generated/other","PAA0001","Moderate","AssetIssue","Assets/_3rdParty/LeanTween/Examples/Material/Futuro_SineWave.psd","0","Texture2D 'Futuro_SineWave' mipmaps generation is enabled","Texture: Mipmaps enabled on Sprite/UI texture","BuildSize, Quality"
"Vendor/generated/other","PAA4008","Moderate","AssetIssue","Assets/FishNet/Demos/ColliderRollback/Audio/Glock.wav","0","AudioClip 'Glock' is set to Preload Audio Data","Audio: Preload Audio Data is enabled","LoadTime"
"Vendor/generated/other","PAA4011","Moderate","AssetIssue","Assets/SFX/Horn/horn1.mp3","0","AudioClip 'horn1' source asset is in a lossy compressed format","Audio: Source asset is in a lossy compressed format","Quality"
"Vendor/generated/other","PAA4011","Moderate","AssetIssue","Assets/SFX/Horn/horn2.mp3","0","AudioClip 'horn2' source asset is in a lossy compressed format","Audio: Source asset is in a lossy compressed format","Quality"
"Vendor/generated/other","PAA4011","Moderate","AssetIssue","Assets/SFX/Horn/horn3.mp3","0","AudioClip 'horn3' source asset is in a lossy compressed format","Audio: Source asset is in a lossy compressed format","Quality"
"Vendor/generated/other","PAA1000","Moderate","AssetIssue","Assets/_3rdParty/GolfCart/Meshes/GolfCart_01.FBX","0","Mesh 'steeringWheel' Read/Write is enabled","Mesh: Read/Write enabled","Memory"
"Vendor/generated/other","PAA1000","Moderate","AssetIssue","Assets/_3rdParty/GolfCart/Meshes/GolfCart_01.FBX","0","Mesh 'acceleratorPedal' Read/Write is enabled","Mesh: Read/Write enabled","Memory"
"Vendor/generated/other","PAA1000","Moderate","AssetIssue","Assets/_3rdParty/GolfCart/Meshes/GolfCart_01.FBX","0","Mesh 'lights' Read/Write is enabled","Mesh: Read/Write enabled","Memory"
"Vendor/generated/other","PAA1000","Moderate","AssetIssue","Assets/_3rdParty/GolfCart/Meshes/GolfCart_01.FBX","0","Mesh 'brakePedal' Read/Write is enabled","Mesh: Read/Write enabled","Memory"
"Vendor/generated/other","PAA1000","Moderate","AssetIssue","Assets/_3rdParty/GolfCart/Meshes/GolfCart_01.FBX","0","Mesh 'headLights' Read/Write is enabled","Mesh: Read/Write enabled","Memory"
"Vendor/generated/other","PAA1000","Moderate","AssetIssue","Assets/_3rdParty/GolfCart/Meshes/GolfCart_01.FBX","0","Mesh 'wheel_f_r' Read/Write is enabled","Mesh: Read/Write enabled","Memory"
"Vendor/generated/other","PAA1000","Moderate","AssetIssue","Assets/_3rdParty/GolfCart/Meshes/GolfCart_01.FBX","0","Mesh 'GolfCart_01' Read/Write is enabled","Mesh: Read/Write enabled","Memory"
"Vendor/generated/other","PAA1000","Moderate","AssetIssue","Assets/_3rdParty/GolfCart/Meshes/GolfCart_01.FBX","0","Mesh 'wheel_b_l' Read/Write is enabled","Mesh: Read/Write enabled","Memory"
"Vendor/generated/other","PAA1000","Moderate","AssetIssue","Assets/_3rdParty/GolfCart/Meshes/GolfCart_01.FBX","0","Mesh 'wheel_f_l' Read/Write is enabled","Mesh: Read/Write enabled","Memory"
"Vendor/generated/other","PAA1000","Moderate","AssetIssue","Assets/_3rdParty/GolfCart/Meshes/GolfCart_01.FBX","0","Mesh 'wheel_b_r' Read/Write is enabled","Mesh: Read/Write enabled","Memory"
"Vendor/generated/other","PAA1000","Moderate","AssetIssue","Assets/_3rdParty/GolfCart/Meshes/GolfCart_01.FBX","0","Mesh 'steering' Read/Write is enabled","Mesh: Read/Write enabled","Memory"
"Vendor/generated/other","PAA1000","Moderate","AssetIssue","Assets/_3rdParty/GolfCart/Meshes/GolfCart_01.FBX","0","Mesh 'axle_b' Read/Write is enabled","Mesh: Read/Write enabled","Memory"
"Vendor/generated/other","PAA1000","Moderate","AssetIssue","Assets/_3rdParty/GolfCart/Meshes/GolfCart_01.FBX","0","Mesh 'windshield' Read/Write is enabled","Mesh: Read/Write enabled","Memory"
"Vendor/generated/other","PAA1000","Moderate","AssetIssue","Assets/_3rdParty/GolfCart/Meshes/GolfCart_01.FBX","0","Mesh 'storageTray' Read/Write is enabled","Mesh: Read/Write enabled","Memory"
"Vendor/generated/other","PAA1000","Moderate","AssetIssue","Assets/_3rdParty/GolfCart/Meshes/GolfCart_01.FBX","0","Mesh 'seat_f' Read/Write is enabled","Mesh: Read/Write enabled","Memory"
"Vendor/generated/other","PAA1000","Moderate","AssetIssue","Assets/_3rdParty/GolfCart/Meshes/GolfCart_01.FBX","0","Mesh 'axle_f' Read/Write is enabled","Mesh: Read/Write enabled","Memory"
"Vendor/generated/other","PAA1000","Moderate","AssetIssue","Assets/_3rdParty/GolfCart/Meshes/GolfCart_01.FBX","0","Mesh 'seat_b' Read/Write is enabled","Mesh: Read/Write enabled","Memory"
"Vendor/generated/other","PAA1000","Moderate","AssetIssue","Assets/_3rdParty/GolfCart/Meshes/GolfCart_01.FBX","0","Mesh 'tailLights' Read/Write is enabled","Mesh: Read/Write enabled","Memory"
"Vendor/generated/other","PAA1000","Moderate","AssetIssue","Assets/_3rdParty/LeanTween/Examples/Models/2dText.fbx","0","Mesh 'Text.002' Read/Write is enabled","Mesh: Read/Write enabled","Memory"
"Vendor/generated/other","PAA1000","Moderate","AssetIssue","Assets/_3rdParty/LeanTween/Examples/Models/AdvancedExamplesText.fbx","0","Mesh 'Text2' Read/Write is enabled","Mesh: Read/Write enabled","Memory"
"Vendor/generated/other","PAA1000","Moderate","AssetIssue","Assets/_3rdParty/LeanTween/Examples/Models/AdvancedExamplesText.fbx","0","Mesh 'Text3' Read/Write is enabled","Mesh: Read/Write enabled","Memory"
"Vendor/generated/other","PAA1000","Moderate","AssetIssue","Assets/_3rdParty/LeanTween/Examples/Models/AdvancedExamplesText.fbx","0","Mesh 'Text4' Read/Write is enabled","Mesh: Read/Write enabled","Memory"
"Vendor/generated/other","PAA1000","Moderate","AssetIssue","Assets/_3rdParty/LeanTween/Examples/Models/AdvancedExamplesText.fbx","0","Mesh 'TextRecursion' Read/Write is enabled","Mesh: Read/Write enabled","Memory"
"Vendor/generated/other","PAA1000","Moderate","AssetIssue","Assets/_3rdParty/LeanTween/Examples/Models/BasicExamplesText.fbx","0","Mesh 'TextRotate' Read/Write is enabled","Mesh: Read/Write enabled","Memory"
"Vendor/generated/other","PAA1000","Moderate","AssetIssue","Assets/_3rdParty/LeanTween/Examples/Models/BasicExamplesText.fbx","0","Mesh 'TextAndMore' Read/Write is enabled","Mesh: Read/Write enabled","Memory"
"Vendor/generated/other","PAA1000","Moderate","AssetIssue","Assets/_3rdParty/LeanTween/Examples/Models/BasicExamplesText.fbx","0","Mesh 'TextMove' Read/Write is enabled","Mesh: Read/Write enabled","Memory"
"Vendor/generated/other","PAA1000","Moderate","AssetIssue","Assets/_3rdParty/LeanTween/Examples/Models/BasicExamplesText.fbx","0","Mesh 'TextScale' Read/Write is enabled","Mesh: Read/Write enabled","Memory"
